1,L1_T,10
1,L1_H,58
1,L1_1,71
1,L1_2,106
1,L1_T,122
1,L2_H,173
1,L2_1,185
1,L2_2,219
1,L2_T,234
1,L3_H,281
1,L3_1,294
1,L3_2,329
1,L3_T,344
1,L4_H,392
1,L4_1,400
1,L4_2,439
1,L4_T,453
1,R1_H,1
1,R1_1,11
1,R1_2,52
1,R1_T,67
1,R2_H,114
1,R2_1,126
1,R2_2,166
1,R2_T,182
1,R3_H,226
1,R3_1,236
1,R3_2,277
1,R3_T,290
1,R4_H,336
1,R4_1,349
1,R4_2,384
1,R4_T,400
1,R4_H,446
X,X,X
1,L5_H,1
1,L5_1,15
1,L5_2,52
1,L5_T,71
1,L6_H,117
1,L6_1,126
1,L6_2,163
1,L6_T,177
1,L7_H,224
1,L7_1,234
1,L7_2,268
1,L7_T,282
1,L8_H,328
1,L8_1,338
1,L8_2,374
1,L8_T,386
1,L8_H,433
1,R5_T,15
1,R5_H,60
1,R5_1,70
1,R5_2,111
1,R5_T,126
1,R6_H,171
1,R6_1,179
1,R6_2,218
1,R6_T,231
1,R7_H,275
1,R7_1,283
1,R7_2,322
1,R7_T,336
1,R8_H,380
1,R8_1,388
1,R8_2,426
1,R8_T,439
X,X,X
1,L9_T,11
1,L9_H,58
1,L9_1,71
1,L9_2,107
1,L9_T,120
1,L10_H,167
1,L10_1,176
1,L10_2,214
1,L10_T,225
1,L11_H,269
1,L11_1,279
1,L11_2,315
1,L11_T,328
1,L11_H,376
1,R9_H,1
1,R9_1,14
1,R9_2,53
1,R9_T,67
1,R10_H,113
1,R10_1,122
1,R10_2,162
1,R10_T,175
1,R11_H,218
1,R11_1,227
1,R11_2,263
1,R11_T,276
1,R12_H,322
1,R12_1,330
1,R12_2,370
1,R12_T,383
X,X,X
1,L12_H,1
1,L12_1,18
1,L12_2,54
1,L12_T,69
1,L13_H,114
1,L13_1,126
1,L13_2,164
1,L13_T,176
1,L14_H,221
1,L14_1,234
1,L14_2,270
1,L14_T,281
1,L15_H,326
1,L15_1,337
1,L15_2,372
1,L15_T,384
1,L15_H,431
1,R13_T,12
1,R13_H,61
1,R13_1,70
1,R13_2,109
1,R13_T,122
1,R14_H,168
1,R14_1,178
1,R14_2,215
1,R14_T,230
1,R15_H,274
1,R15_1,281
1,R15_2,320
1,R15_T,333
1,R16_H,378
1,R16_1,386
1,R16_2,424
1,R16_T,438
X,X,X
1,L16_T,9
1,L16_H,59
1,L16_1,73
1,L16_2,106
1,L16_T,121
1,L17_H,168
1,L17_1,178
1,L17_2,220
1,L17_T,232
1,L18_H,279
1,L18_1,290
1,L18_2,325
1,L18_T,343
1,L18_H,389
1,R17_H,1
1,R17_1,12
1,R17_2,50
1,R17_T,69
1,R18_H,113
1,R18_1,121
1,R18_2,161
1,R18_T,176
1,R19_H,224
1,R19_1,235
1,R19_2,273
1,R19_T,285
1,R20_H,333
1,R20_1,344
1,R20_2,381
1,R20_T,395
X,X,X
1,L19_H,1
1,L19_1,10
1,L19_2,47
1,L19_T,58
1,L20_H,109
1,L20_1,116
1,L20_2,157
1,L20_T,167
1,L21_H,215
1,L21_1,225
1,L21_2,261
1,L21_T,275
1,L22_H,321
1,L22_1,330
1,L22_2,368
1,L22_T,380
1,R21_T,9
1,R21_H,52
1,R21_1,59
1,R21_2,101
1,R21_T,115
1,R22_H,161
1,R22_1,169
1,R22_2,209
1,R22_T,223
1,R23_H,267
1,R23_1,276
1,R23_2,316
1,R23_T,328
1,R23_H,373
X,X,X
1,L23_T,9
1,L23_H,54
1,L23_1,65
1,L23_2,103
1,L23_T,116
1,L24_H,164
1,L24_1,176
1,L24_2,213
1,L24_T,223
1,L25_H,268
1,L25_1,278
1,L25_2,314
1,L25_T,325
1,L26_H,373
1,L26_1,383
1,L26_2,422
1,L26_T,433
1,R24_H,1
1,R24_1,8
1,R24_2,50
1,R24_T,64
1,R25_H,109
1,R25_1,117
1,R25_2,158
1,R25_T,172
1,R26_H,216
1,R26_1,224
1,R26_2,260
1,R26_T,273
1,R27_H,319
1,R27_1,327
1,R27_2,368
1,R27_T,378
1,R27_H,426
X,X,X
1,L27_H,1
1,L27_1,10
1,L27_2,50
1,L27_T,60
1,L28_H,107
1,L28_1,112
1,L28_2,152
1,L28_T,164
1,L29_H,210
1,L29_1,213
1,L29_2,258
1,L29_T,270
1,L30_H,317
1,L30_1,328
1,L30_2,362
1,L30_T,374
